"Striker_ID","Nationality","Footedness","Marital Status","Goals Scored","Assists","Shots on Target","Shot Accuracy","Conversion Rate","Dribbling Success","Movement off the Ball","Hold-up Play","Aerial Duels Won","Defensive Contribution","Big Game Performance","Consistency","Penalty Success Rate","Impact on Team Performance","Off-field Conduct"
"1","Spain","Left-footed","No","17.483570765056","10.778532642595","34.795488056102","0.67783610761666","0.16624108625128","0.75706129972195","50.921924421226","71.806409124521","15.682531975175","30.412215438132","6.1524806359546","0.820314254222","0.92272738220813","8.5703701646208","11.45138758563"
"2","France","Left-footed","Yes","14.308678494144","13.72824992141","31.472435780389","0.54488142836715","0.19277406646422","0.79681846605329","61.396149892205","53.726865540487","19.843982555305","26.474913105593","6.0931717832323","0.80332073178993","0.67898394970191","3.4446380752596","8.2436889282649"
"3","Germany","Left-footed","No","18.238442690503","3.8042972785426","25.417412589441","0.51818011165777","0.16037900395","0.66686916168167","65.863944665784","60.45222709","20.090084360222","24.164116102124","3.40871365474","0.76654036602997","0.8438579290921","8.4294912997779","9.5068349468422"
"4","France","Right-footed","No","22.61514928204","9.6889077100717","20.471442556061","0.5996625542589","0.18460192351805","0.63877632654922","88.876876573402","60.511979018811","22.363151729217","44.129989121378","6.3398196165971","0.61179824313076","0.66299733726356","6.5325518842965","8.1996526301995"
"5","France","Left-footed","Yes","13.829233126383","6.0480722926345","29.887563195295","0.58298153774751","0.10531926665231","0.59148494734422","75.565531245338","54.982158071885","13.165708183596","37.859323022721","8.4656581636435","0.70163828604446","0.90653762722596","8.4149154217288","6.665333237567"
"6","Brazil","Right-footed","No","13.829315215254","6.5386238487059","27.754397697952","0.55467719506727","0.21066468536865","0.6174589470021","56.645184309001","46.275344521159","22.962836369237","43.794053976051","4.4515357618464","0.8341780774784","0.77419544843888","8.5538633847097","3.5161681309822"
"7","Germany","Right-footed","Yes","22.896064077537","6.2228182272834","31.266352540194","0.66963874474567","0.20006027376811","0.99490944253087","74.860362894176","63.229745036177","6.4780418419861","46.904726861215","9.0969653021012","0.64487799702175","0.92685832356475","10.215830122238","8.4109113740726"
"8","Germany","Right-footed","No","18.837173645765","5.4080276909606","29.446202611774","0.69553052085705","0.15914556844659","0.82446795807368","54.526960110616","59.389960281446","16.850577238181","42.656169931725","7.9755496421687","0.49682306837492","0.84914127563555","9.7069072952424","6.4487867907952"
"9","Germany","Right-footed","Yes","12.652628070325","8.1455648838345","32.346869007235","0.60884068862918","0.23296228342162","0.5648925633792","80.826910538871","65.002404694366","17.558630787742","46.577631761504","5.5315333560579","0.72728939922191","0.67767797699381","9.6931433252206","6.3993291876694"
"10","France","Left-footed","Yes","17.71280021793","5.5071496507669","21.253353519076","0.74775300810553","0.24687850688133","0.56775420432564","65.288753481821","54.663996935608","23.166634130356","39.304677137577","6.7169407253243","0.73582424459725","0.94246277320772","9.8873406383325","7.0020254880418"
